Vivado Simulator 2019.2
Time resolution is 1 ps
[25836500000 ns] anode=11101 seg=10011001 anode_off=111
[26008500000 ns] anode=11111 seg=10011001 anode_off=111
[26012500000 ns] anode=11101 seg=10011001 anode_off=111
[26668500000 ns] anode=11111 seg=10110000 anode_off=111
[26669500000 ns] anode=11011 seg=10110000 anode_off=111
[27008500000 ns] anode=11111 seg=10110000 anode_off=111
[27012500000 ns] anode=11011 seg=10110000 anode_off=111
[27501500000 ns] anode=11111 seg=10100100 anode_off=111
[27502500000 ns] anode=10111 seg=10100100 anode_off=111
[28008500000 ns] anode=11111 seg=10100100 anode_off=111
[28012500000 ns] anode=10111 seg=10100100 anode_off=111
[28334500000 ns] anode=11111 seg=11111001 anode_off=111
[28335500000 ns] anode=01111 seg=11111001 anode_off=111
[29008500000 ns] anode=11111 seg=11111001 anode_off=111
[29012500000 ns] anode=01111 seg=11111001 anode_off=111
[30008500000 ns] anode=11111 seg=11111001 anode_off=111
[30012500000 ns] anode=01111 seg=11111001 anode_off=111
[31008500000 ns] anode=11111 seg=11111001 anode_off=111
[31012500000 ns] anode=01111 seg=11111001 anode_off=111
[32008500000 ns] anode=11111 seg=11111001 anode_off=111
[32012500000 ns] anode=01111 seg=11111001 anode_off=111
[33008500000 ns] anode=11111 seg=11111001 anode_off=111
[33012500000 ns] anode=01111 seg=11111001 anode_off=111
[34008500000 ns] anode=11111 seg=11111001 anode_off=111
[34012500000 ns] anode=01111 seg=11111001 anode_off=111
[35008500000 ns] anode=11111 seg=11111001 anode_off=111
[35012500000 ns] anode=01111 seg=11111001 anode_off=111
[36008500000 ns] anode=11111 seg=11111001 anode_off=111
[36012500000 ns] anode=01111 seg=11111001 anode_off=111
[37008500000 ns] anode=11111 seg=11111001 anode_off=111
[37012500000 ns] anode=01111 seg=11111001 anode_off=111
[38008500000 ns] anode=11111 seg=11111001 anode_off=111
[38012500000 ns] anode=01111 seg=11111001 anode_off=111
[39008500000 ns] anode=11111 seg=11111001 anode_off=111
[39012500000 ns] anode=01111 seg=11111001 anode_off=111
[39015500000 ns] anode=11111 seg=10000010 anode_off=111
[39016500000 ns] anode=11110 seg=10000010 anode_off=111
[39848500000 ns] anode=11111 seg=11111000 anode_off=111
[39849500000 ns] anode=11101 seg=11111000 anode_off=111
[40008500000 ns] anode=11111 seg=11111000 anode_off=111
[40012500000 ns] anode=11101 seg=11111000 anode_off=111
[40681500000 ns] anode=11111 seg=10000000 anode_off=111
[40682500000 ns] anode=11011 seg=10000000 anode_off=111
[41008500000 ns] anode=11111 seg=10000000 anode_off=111
[41012500000 ns] anode=11011 seg=10000000 anode_off=111
[41514500000 ns] anode=11111 seg=10010000 anode_off=111
[41515500000 ns] anode=10111 seg=10010000 anode_off=111
